"","x"
"1815","27207"
"1816","91741"
"1817","33190"
"1818","30265"
"1819","46792"
"1820","46012"
"1821","46065"
"1822","47406"
"1823","70395"
"1824","48393"
"1825","48134"
"1826","58069"
"1827","48445"
"1828","71855"
"1829","71711"
"1830","92404"
"1831","92595"
"1832","31709"
"1833","30058"
"1834","46164"
"1835","46950"
"1836","50055"
"1837","45353"
"1838","50023"
"1839","50428"
"1840","70762"
"1841","71456"
"1842","04950"
"1843","04256"
"1844","93633"
"1845","94720"
"1846","95326"
"1847","95234"
"1848","43549"
"1849","30147"
"1850","31719"
"1851","50248"
"1852","50252"
"1853","52227"
"1854","50109"
"1855","50235"
"1856","21001"
"1857","04021"
"1858","20853"
"1859","28366"
"1860","20841"
"1861","91311"
"1862","90043"
"1863","90280"
"1864","90717"
"1865","95135"
"1866","30097"
"1867","39837"
"1868","50243"
"1869","50561"
